# Event_ID q2 Psi_EP epsilon2 phi2
1976 4.876843 -1.070096 0.501462 0.498521
1977 2.428136 0.765025 0.632097 -1.035240
1979 3.567823 0.345435 0.495729 -1.203630
1980 2.858696 1.318035 0.528591 -0.352672
1992 3.009099 -1.520386 0.535506 -0.028125
2004 4.081427 -0.024868 0.584925 1.334300
2012 3.461591 0.784113 0.409915 -0.840213
2013 0.880102 -0.352819 0.155583 1.305030
2018 4.610459 0.962475 0.563114 -0.649626
2019 1.301559 0.780578 0.446588 -0.465530
2022 1.594835 -1.400591 0.515538 0.597577
2024 2.531600 0.080687 0.393880 -1.270490
2030 5.050502 0.984250 0.502997 -0.683982
2034 3.628940 1.242329 0.443511 -0.221541
2038 2.569554 1.535316 0.485553 0.101345
2042 3.984261 -0.263317 0.507929 1.474450
2049 1.729654 1.135602 0.344970 -0.497263
2053 5.018508 1.176611 0.528832 -0.401112
2055 4.935908 0.531930 0.598915 -0.995691
2057 3.949328 0.566309 0.405696 -1.166520
2066 0.936272 -0.014853 0.207255 0.902847
2070 1.090452 0.994409 0.335072 -0.791061
2080 3.125776 -0.890815 0.482692 0.757879
2084 2.266442 1.143755 0.388206 -0.613100
2086 2.421534 0.417110 0.543241 -0.996129
2092 5.566212 0.888430 0.571899 -0.787047
2101 2.033734 0.346349 0.262552 -1.230460
2112 3.041936 -1.080404 0.334470 0.499291
2122 2.880570 -0.214677 0.362903 1.342320
2134 2.628796 -0.702018 0.392133 0.937449
2142 2.319296 -1.017817 0.521606 0.338464
2143 2.451166 1.477238 0.441803 -0.053419
2145 1.980852 0.565318 0.224673 -0.870025
2146 3.285069 -0.375646 0.512943 1.258960
2150 2.712692 1.474740 0.457937 -0.105337
2154 3.396746 -0.822369 0.471009 0.681730
2160 1.905657 -0.098950 0.241472 1.225570
2162 3.185169 -1.512973 0.616269 0.048366
2165 2.978344 -0.523281 0.610671 1.334310
2167 2.128164 0.519492 0.440822 -0.995541
2172 1.794264 -1.134465 0.527016 0.992410
2173 2.641596 0.935227 0.590463 -0.782412
2178 3.450969 1.132830 0.583902 -0.414028
2179 2.822496 -0.038252 0.594331 -1.565560
2180 3.943998 0.963461 0.376348 -0.868035
2181 4.361978 0.436039 0.488450 -1.176860
